Year,Rainfall_mm,Sig_Wave_Height_m,Storm_Days,Cyclone_Intensity,Mean_NDVI,Mean_BSI,Mean_EPR_m_yr
2013,1577.5,1.068,8,3,0.1835583675708292,-0.0174152127398864,14.75
2014,1458.9,1.092,2,1,0.1998906579864884,-0.0115775782159428,16.65
2015,1278.0,1.089,1,0,0.22981311429312,0.0139697611257985,25.0
2016,1146.6,1.204,2,1,0.1826290008452867,-0.0098179214033461,17.23
2017,1478.6,1.499,1,0,0.160318223534343,-0.0624321154502548,0.04
2018,1955.9,1.491,5,3,0.1565851613054692,-0.0319545576862201,10.0
2019,1528.1,1.394,3,2,0.1623127655652911,-0.0765900514945716,-4.58
2020,1211.6,1.396,4,2,0.1426305464573004,-0.0844224692934944,-7.14
2021,1456.8,1.498,2,1,0.16109667799526,-0.1084776878985819,-15.0
2022,1433.6,1.49,1,0,0.1428218021968486,-0.0570033478734906,1.82
2023,1249.6,1.575,6,3,0.219307802518863,-0.0067995204265009,18.22
2024,1972.4,1.526,2,1,0.1478118225406317,-0.1025678315171878,-13.07
