TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value
0,20.4846,358.0812,20.4846,0.195,447.6015,0.1507
1,1.0086,188.9872,1.0086,0.0008,417.7613,0.9285
2,18.9953,510.5497,18.9953,0.0763,624.0054,0.5078
3,10.8477,245.837,10.8477,0.0916,340.3897,0.3656
4,15.4618,149.2036,15.4618,0.1644,437.6636,0.279
5,20.5814,529.4939,20.5814,0.1138,538.9491,0.3103
6,11.9824,238.7255,11.9824,0.0517,586.8669,0.5564
7,34.9565,529.4938,34.9565,0.3714,548.4043,0.0465
8,0.8091,278.5129,0.8091,0.0003,447.6099,0.9609
9,38.4762,746.0172,38.4762,0.3167,746.0172,0.0715
10,21.1354,278.5128,21.1354,0.4297,427.716,0.0286
11,1.4648,159.1501,1.4648,0.0017,417.769,0.9032
12,17.9619,47.2753,17.9619,0.2055,501.1172,0.1614
13,19.3961,642.9391,19.3961,0.056,642.9391,0.5398
14,25.5647,547.078,25.5647,0.1641,586.8655,0.2164
15,10.0947,122.9146,10.0947,0.0955,397.1085,0.4184
16,21.3699,66.1852,21.3699,0.2816,538.9357,0.0931
17,15.862,298.4058,15.862,0.1839,298.4058,0.1881
18,8.5657,149.2028,8.5657,0.0558,507.2893,0.4842
19,27.2387,467.5016,27.2387,0.3325,467.5016,0.0633
20,18.6764,348.1389,18.6764,0.169,467.5008,0.1843
21,7.9644,49.7342,7.9644,0.0271,596.8098,0.6088
22,17.3477,278.5116,17.3477,0.3669,278.5116,0.0483
23,3.39,119.3623,3.39,0.0094,417.7673,0.7767
24,25.3624,149.203,25.3624,0.4322,427.7153,0.0279
25,32.7145,865.3785,32.7145,0.1669,865.3785,0.2123
26,4.0008,19.8938,4.0008,0.0018,935.0076,0.9133
27,12.3588,378.1904,12.3588,0.0555,652.379,0.4855
28,-1.3323,39.7875,-1.3323,0.001,397.8748,0.9279
29,-4.5749,132.3657,-4.5749,0.0104,491.6444,0.7655
30,9.8562,119.3622,9.8562,0.105,407.8211,0.331
31,18.6591,457.5553,18.6591,0.2787,457.5553,0.0951
32,22.543,0.0,22.543,0.1215,775.2937,0.2934
33,16.1381,37.8191,16.1381,0.1928,453.83,0.1766
34,4.9926,75.6385,4.9926,0.1557,113.4578,0.2298
35,-1.8989,29.8404,-1.8989,0.001,457.5534,0.9257
36,-1.0851,0.0,-1.0851,0.0003,487.3939,0.9579
37,11.8944,208.8832,11.8944,0.0834,537.1285,0.3627
38,-10.4909,358.0857,-10.4909,0.0389,477.4477,0.5608
39,33.9821,642.9198,33.9821,0.1974,907.6522,0.1983
40,12.277,49.734,12.277,0.0643,437.6601,0.4265
41,23.7969,208.0023,23.7969,0.2231,482.1881,0.2845
42,2.2954,29.8404,2.2954,0.004,477.4464,0.8461
43,6.626,66.1829,6.626,0.0186,482.1888,0.7707
44,0.3604,19.8936,0.3604,0.0242,29.8403,0.6681
45,6.3032,151.2761,6.3032,0.1881,170.1856,0.2105
46,54.04,491.6527,54.04,0.6769,491.6527,0.0035
47,13.7581,472.7472,13.7581,0.0911,472.7472,0.3671
48,7.4592,18.91,7.4592,0.0331,520.0246,0.5924
49,11.5145,477.4457,11.5145,0.0348,477.4457,0.6057
50,7.7557,119.3614,7.7557,0.044,437.6588,0.5128
51,18.7223,19.8936,18.7223,0.1451,407.8182,0.2775
52,3.0994,59.6807,3.0994,0.2755,69.6274,0.1192
53,38.4897,437.6585,38.4897,0.6499,437.6585,0.0049
54,6.6781,170.1923,6.6781,0.2175,170.1923,0.1265
55,14.4142,226.9244,14.4142,0.3377,245.8348,0.0475
56,7.8683,226.9243,7.8683,0.2025,226.9243,0.1421
