TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value,Longitude,Latitude
0,20.4846,358.0812,20.4846,0.195,447.6015,0.1507,84.736104,19.055962
1,1.0086,188.9872,1.0086,0.0008,417.7613,0.9285,84.736481,19.055423
2,18.9953,510.5497,18.9953,0.0763,624.0054,0.5078,84.71158,19.121772
3,10.8477,245.837,10.8477,0.0916,340.3897,0.3656,84.711311,19.110326
4,15.4618,149.2036,15.4618,0.1644,437.6636,0.279,84.711935,19.110939
5,20.5814,529.4939,20.5814,0.1138,538.9491,0.3103,84.712658,19.110892
6,11.9824,238.7255,11.9824,0.0517,586.8669,0.5564,84.712772,19.112017
7,34.9565,529.4938,34.9565,0.3714,548.4043,0.0465,84.714006,19.110932
8,0.8091,278.5129,0.8091,0.0003,447.6099,0.9609,84.714119,19.111209
9,38.4762,746.0172,38.4762,0.3167,746.0172,0.0715,84.713234,19.112556
10,21.1354,278.5128,21.1354,0.4297,427.716,0.0286,84.714759,19.113364
11,1.4648,159.1501,1.4648,0.0017,417.769,0.9032,84.716,19.114442
12,17.9619,47.2753,17.9619,0.2055,501.1172,0.1614,84.71724,19.113904
13,19.3961,642.9391,19.3961,0.056,642.9391,0.5398,84.716162,19.115138
14,25.5647,547.078,25.5647,0.1641,586.8655,0.2164,84.717567,19.116059
15,10.0947,122.9146,10.0947,0.0955,397.1085,0.4184,84.718318,19.115027
16,21.3699,66.1852,21.3699,0.2816,538.9357,0.0931,84.718048,19.114295
17,15.862,298.4058,15.862,0.1839,298.4058,0.1881,84.719702,19.114981
18,8.5657,149.2028,8.5657,0.0558,507.2893,0.4842,84.721227,19.114712
19,27.2387,467.5016,27.2387,0.3325,467.5016,0.0633,84.722468,19.115251
20,18.6764,348.1389,18.6764,0.169,467.5008,0.1843,84.72456,19.114981
21,7.9644,49.7342,7.9644,0.0271,596.8098,0.6088,84.724282,19.11552
22,17.3477,278.5116,17.3477,0.3669,278.5116,0.0483,84.722473,19.116059
23,3.39,119.3623,3.39,0.0094,417.7673,0.7767,84.720665,19.116598
24,25.3624,149.203,25.3624,0.4322,427.7153,0.0279,84.718573,19.116868
25,32.7145,865.3785,32.7145,0.1669,865.3785,0.2123,84.716765,19.117407
26,4.0008,19.8938,4.0008,0.0018,935.0076,0.9133,84.715211,19.117946
27,12.3588,378.1904,12.3588,0.0555,652.379,0.4855,84.716701,19.118787
28,-1.3323,39.7875,-1.3323,0.001,397.8748,0.9279,84.71826,19.119563
29,-4.5749,132.3657,-4.5749,0.0104,491.6444,0.7655,84.719396,19.120001
30,9.8562,119.3622,9.8562,0.105,407.8211,0.331,84.720459,19.118754
31,18.6591,457.5553,18.6591,0.2787,457.5553,0.0951,84.721148,19.117946
32,22.543,0.0,22.543,0.1215,775.2937,0.2934,84.72236,19.117717
33,16.1381,37.8191,16.1381,0.1928,453.83,0.1766,84.724247,19.11771
34,4.9926,75.6385,4.9926,0.1557,113.4578,0.2298,84.725864,19.11699
35,-1.8989,29.8404,-1.8989,0.001,457.5534,0.9257,84.727544,19.116329
36,-1.0851,0.0,-1.0851,0.0003,487.3939,0.9579,84.72751,19.116598
37,11.8944,208.8832,11.8944,0.0834,537.1285,0.3627,84.725985,19.117407
38,-10.4909,358.0857,-10.4909,0.0389,477.4477,0.5608,84.724828,19.118485
39,33.9821,642.9198,33.9821,0.1974,907.6522,0.1983,84.725055,19.118963
40,12.277,49.734,12.277,0.0643,437.6601,0.4265,84.72626,19.119563
41,23.7969,208.0023,23.7969,0.2231,482.1881,0.2845,84.72802,19.119609
42,2.2954,29.8404,2.2954,0.004,477.4464,0.8461,84.72931,19.119024
43,6.626,66.1829,6.626,0.0186,482.1888,0.7707,84.730715,19.11864
44,0.3604,19.8936,0.3604,0.0242,29.8403,0.6681,84.732359,19.117946
45,6.3032,151.2761,6.3032,0.1881,170.1856,0.2105,84.733949,19.117199
46,54.04,491.6527,54.04,0.6769,491.6527,0.0035,84.733679,19.115709
47,13.7581,472.7472,13.7581,0.0911,472.7472,0.3671,84.733949,19.11422
48,7.4592,18.91,7.4592,0.0331,520.0246,0.5924,84.73341,19.113203
49,11.5145,477.4457,11.5145,0.0348,477.4457,0.6057,84.732055,19.114173
50,7.7557,119.3614,7.7557,0.044,437.6588,0.5128,84.730246,19.114173
51,18.7223,19.8936,18.7223,0.1451,407.8182,0.2775,84.730835,19.113634
52,3.0994,59.6807,3.0994,0.2755,69.6274,0.1192,84.732559,19.113095
53,38.4897,437.6585,38.4897,0.6499,437.6585,0.0049,84.731318,19.112017
54,6.6781,170.1923,6.6781,0.2175,170.1923,0.1265,84.729906,19.111101
55,14.4142,226.9244,14.4142,0.3377,245.8348,0.0475,84.729637,19.110137
56,7.8683,226.9243,7.8683,0.2025,226.9243,0.1421,84.730984,19.110225
57,28.002,359.299,28.002,0.3187,359.299,0.0558,84.731254,19.109248
58,3.6697,28.3659,3.6697,0.0253,255.2938,0.6218,84.730445,19.107759
59,-1.2894,28.3661,-1.2894,0.0082,170.1967,0.7791,84.728828,19.107038
60,-4.1387,29.8404,-4.1387,0.0079,417.7657,0.7832,84.727736,19.105819
61,1.9836,264.7532,1.9836,0.0035,397.1305,0.8556,84.726403,19.105367
62,-0.2087,29.8404,-0.2087,0.0001,238.7235,0.9785,84.725254,19.104202
