system:index,MNDWI,True_Class,.geo
00000000000000000002_0,-0.042715706,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78968896406712,19.12472815702676]}"
0000000000000000003c_0,-0.07699277,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.9053021411333,19.418746749519077]}"
0000000000000000003d_0,0.06451611,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.84718114225078,19.229022561513034]}"
0000000000000000003f_0,0.07112218,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73902398204278,19.055108722507494]}"
00000000000000000040_0,-0.06958254,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74144943330991,19.11843995003792]}"
00000000000000000041_0,-0.05936293,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72285430692864,19.120506075191397]}"
00000000000000000043_0,0.03765692,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.82876567892633,19.180962693812642]}"
00000000000000000044_0,-0.064220205,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75411567881599,19.121943379645987]}"
00000000000000000045_0,-0.069372356,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72536958972417,19.137843560174904]}"
00000000000000000046_0,0.07139024,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7082117677975,19.116463656412858]}"
00000000000000000048_0,-0.09876866,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73659853077567,19.109546628725138]}"
0000000000000000004a_0,-0.07635206,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7647157991686,19.10352791632154]}"
0000000000000000004b_0,-0.033259407,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.88176628068938,19.3723038493301]}"
0000000000000000004c_0,0.0414201,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86326098583652,19.293252104327582]}"
0000000000000000004d_0,0.06693712,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90709877170156,19.416860287422427]}"
0000000000000000004e_0,-0.06003936,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78510755611812,19.11960775990728]}"
0000000000000000004f_0,-0.0572973,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73246628046871,19.138472380873786]}"
00000000000000000050_0,-0.09613173,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70794227321225,19.11556534112874]}"
00000000000000000051_0,-0.06284658,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73201712282666,19.136585918777136]}"
00000000000000000054_0,-0.05818182,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70587614805878,19.05025781997325]}"
00000000000000000055_0,-0.08961996,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8435878811143,19.230010708325565]}"
00000000000000000056_0,0.0031720803,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.80334335638574,19.204768048841807]}"
00000000000000000057_0,0.052423347,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70210322386548,19.076308963212718]}"
00000000000000000058_0,-0.013970259,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90512247807649,19.418297591877018]}"
00000000000000000059_0,-0.09701848,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73228661741189,19.12616546148135]}"
0000000000000000005a_0,-0.051295612,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74333589540656,19.0506171460869]}"
0000000000000000005b_0,0.06386175,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86541694251841,19.33232881918678]}"
0000000000000000005c_0,-0.053658534,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.83119113019345,19.233693800990455]}"
0000000000000000005d_0,0.025841817,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72824419863335,19.129129901918944]}"
0000000000000000005e_0,-0.055118114,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74207825400879,19.142963957294384]}"
0000000000000000005f_0,0.08657335,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73579004701996,19.056096869320026]}"
00000000000000000060_0,-0.09688999,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.85544564286468,19.333855955169785]}"
00000000000000000061_0,-0.05401155,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75384618423075,19.124099336327873]}"
00000000000000000063_0,0.0931442,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74082061261103,19.16982358428956]}"
00000000000000000064_0,0.06655845,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71126603976349,19.104695726190894]}"
00000000000000000066_0,-0.05182515,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.83649119036976,19.333047471414076]}"
00000000000000000067_0,0.08183307,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8481692890633,19.283729962315913]}"
00000000000000000068_0,0.0017921117,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7300408292016,19.122572200344873]}"
00000000000000000069_0,-0.097222246,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7489054501681,19.135148614322546]}"
0000000000000000006a_0,-0.0427913,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74549185208845,19.12104506436187]}"
0000000000000000006b_0,-0.08404387,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.80424167166987,19.15563020280047]}"
0000000000000000006c_0,-0.002145919,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.89811561886036,19.302774246339247]}"
0000000000000000006d_0,-0.072225876,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75366652117394,19.121763716589165]}"
0000000000000000006e_0,-0.060365006,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7895093010103,19.175213475994276]}"
0000000000000000006f_0,0.055244178,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71791357286598,19.11188224846385]}"
00000000000000000072_0,0.09213485,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74728848265669,19.12104506436187]}"
00000000000000000074_0,0.046728984,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.77181248991315,19.104066905492008]}"
00000000000000000075_0,-0.065182835,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72923234544588,19.131016364015593]}"
00000000000000000077_0,0.036569998,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7736989520098,19.346791695261103]}"
00000000000000000079_0,0.48651162,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71063721906461,19.11781112933904]}"
0000000000000000007d_0,0.45776206,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70991856683732,19.12167388506075]}"
0000000000000000007f_0,0.26223424,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71414064867268,19.122392537288047]}"
00000000000000000080_0,0.59810126,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.83280809770487,19.235670094615518]}"
00000000000000000085_0,0.65426445,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71521862701361,19.118709444623157]}"
0000000000000000008b_0,0.24371582,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.77082434310061,19.336730564078966]}"
0000000000000000008c_0,0.70382166,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72806453557654,19.10730084051484]}"
00000000000000000095_0,0.5669882,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74342572693497,19.131375690129243]}"
00000000000000000097_0,0.20577008,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.91904636498033,19.375627615881342]}"
0000000000000000009c_0,0.53571427,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71620677382614,19.11143309082179]}"
0000000000000000009f_0,0.3159074,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7338137533949,19.119338265322043]}"
000000000000000000a0_0,0.613963,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.79813312773786,19.135597771964605]}"
000000000000000000a3_0,0.5231911,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7263577365367,19.11835011850951]}"
000000000000000000a4_0,0.44110477,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74171892789515,19.132453668470188]}"
000000000000000000a6_0,0.52410007,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71997969801946,19.111343259293378]}"
000000000000000000b2_0,0.7440476,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72303396998547,19.111702585407027]}"
000000000000000000b3_0,0.625,Intertidal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.82975382573886,19.235490431558695]}"
00000000000000000001_0,-0.2998175,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.88482055265538,19.32586094914112]}"
00000000000000000003_0,-0.4453597,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.725549252781,19.40365505274587]}"
00000000000000000004_0,-0.55317396,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7819634526237,19.244383752871478]}"
00000000000000000006_0,-0.43997294,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.76381748388448,19.12248236881646]}"
00000000000000000007_0,-0.41442224,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.79112626852172,19.13550794043619]}"
00000000000000000008_0,-0.2902764,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.80882307961888,19.298013175333413]}"
0000000000000000000b_0,-0.43921205,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70102524552453,19.235310768501872]}"
0000000000000000000c_0,-0.4768977,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70866092543955,19.346342537619044]}"
0000000000000000000d_0,-0.4229656,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71719492063868,19.3700580611198]}"
0000000000000000000e_0,-0.3974026,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.68386742359785,19.055647711677967]}"
0000000000000000000f_0,-0.3816132,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.69617434299029,19.118170455452685]}"
00000000000000000010_0,-0.5570866,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.89883427108765,19.33421528128343]}"
00000000000000000011_0,-0.3307425,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7692073755892,19.368081767494736]}"
00000000000000000012_0,-0.44474986,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7752260879928,19.17395583459651]}"
00000000000000000013_0,-0.48587748,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70776261015543,19.140538506027262]}"
00000000000000000015_0,-0.4405036,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7767532239758,19.288760527906984]}"
00000000000000000016_0,-0.44484916,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8269690483581,19.41434500462689]}"
00000000000000000017_0,-0.39702547,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7022828869223,19.052593439711963]}"
00000000000000000018_0,-0.52270323,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7023727184507,19.13442996209525]}"
00000000000000000019_0,-0.54029846,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.69536585923458,19.127243439822294]}"
0000000000000000001a_0,-0.46541902,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.76938703864603,19.265314498991465]}"
