Year_Pair,Mean_Change_m,Median_Change_m,Pct_Eroding,Pct_Accreting,N_Valid,N_Eroding,N_Stable,N_Accreting
2013→2014,-6.359,0.0,22.9,8.6,140,32,96,12
2014→2015,0.579,0.0,11.9,11.0,118,14,91,13
2015→2016,0.592,0.0,13.7,9.8,102,14,78,10
2016→2017,-3.643,0.0,36.7,30.0,90,33,30,27
2017→2018,6.126,0.0,17.0,23.4,94,16,56,22
2018→2019,5.009,0.0,11.8,27.7,119,14,72,33
2019→2020,-2.507,0.0,23.8,22.1,122,29,66,27
2020→2021,0.564,0.0,18.6,22.0,118,22,70,26
2021→2022,0.181,0.0,17.4,19.1,115,20,73,22
2022→2023,-7.624,0.0,39.2,13.7,102,40,48,14
2023→2024,-5.276,0.0,21.5,13.1,107,23,70,14
