TransectID,change_2013_2014,change_2014_2015,change_2015_2016,change_2016_2017,change_2017_2018,change_2018_2019,change_2019_2020,change_2020_2021,change_2021_2022,change_2022_2023,change_2023_2024
0,-120.0,-360.0,480.0,-160.0,0.0,170.0,-170.0,,,130.0,-20.0
1,-90.0,90.0,,,,100.0,0.0,,,,
2,0.0,0.0,,,,-20.0,-80.0,,,,
3,-60.0,30.0,0.0,-40.0,100.0,-20.0,-190.0,30.0,,,-80.0
4,330.0,0.0,-180.0,0.0,-170.0,350.0,-70.0,-40.0,,,
5,0.0,,,-200.0,-40.0,360.0,-90.0,-260.0,,,0.0
6,,-244.07,78.78999999999999,0.0,,,301.19,-61.70999999999998,,,
7,0.0,0.0,-40.89,-82.53,123.42,15.429999999999993,-16.929999999999993,-157.57999999999998,,,-91.93
8,60.0,-60.0,,,,40.0,-20.0,,,,
9,0.0,0.0,0.0,-50.0,50.0,10.0,0.0,0.0,-60.0,60.0,0.0
10,0.0,0.0,0.0,-40.0,56.260000000000005,3.7399999999999984,-80.0,80.0,-60.0,52.97,7.029999999999999
11,0.0,0.0,0.0,-80.0,-10.0,0.0,0.0,0.0,10.0,0.0,-10.0
12,-30.0,,,,,,,,,,
13,-20.8,0.0,20.8,-20.0,0.0,0.0,20.0,0.0,0.0,-20.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,-100.0,100.0,0.0
16,0.0,0.0,0.0,-90.0,90.0,0.0,-130.0,130.0,0.0,0.0,0.0
17,-150.0,0.0,0.0,20.0,-20.0,0.0,150.0,-150.0,150.0,-150.0,0.0
18,0.0,0.0,210.0,0.0,-180.0,-10.0,190.0,0.0,-190.0,190.0,-190.0
19,0.0,0.0,0.0,0.0,0.0,0.0,-230.0,230.0,0.0,0.0,0.0
20,30.0,0.0,30.0,210.0,-230.0,0.0,230.0,0.0,0.0,-230.0,0.0
21,0.0,30.0,0.0,20.0,-10.0,0.0,-20.0,0.0,0.0,280.0,0.0
22,0.0,0.0,-270.0,270.0,-270.0,0.0,-20.0,290.0,0.0,-270.0,0.0
23,0.0,0.0,0.0,0.0,-300.0,300.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,30.0,0.0,330.0,-350.0,0.0,0.0,350.0,0.0
26,0.0,-370.0,-30.0,40.0,-10.0,-10.0,10.0,-10.0,0.0,10.0,0.0
27,0.0,0.0,0.0,-420.0,0.0,420.0,0.0,0.0,0.0,-420.0,420.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
