TransectID,dist_2013,dist_2014,dist_2015,dist_2016,dist_2017,dist_2018,dist_2019,dist_2020,dist_2021,dist_2022,dist_2023,dist_2024
0,450.0,330.0,-30.0,450.0,290.0,290.0,460.0,290.0,,330.0,460.0,440.0
1,0.0,-90.0,0.0,,,-110.0,-10.0,-10.0,,,,
2,0.0,0.0,0.0,,,20.0,0.0,-80.0,,,,
3,0.0,-60.0,-30.0,-30.0,-70.0,30.0,10.0,-180.0,-150.0,,10.0,-70.0
4,-330.0,0.0,0.0,-180.0,-180.0,-350.0,0.0,-70.0,-110.0,,-300.0,
5,90.0,90.0,,-30.0,-230.0,-270.0,90.0,0.0,-260.0,,-280.0,-280.0
6,,168.91,-75.16,3.63,3.63,,-101.43,199.76,138.05,,,138.05
7,60.34,60.34,60.34,19.45,-63.08,60.34,75.77,58.84,-98.74,,19.45,-72.48
8,0.0,60.0,-0.0,,,40.0,80.0,60.0,,,,
9,0.0,0.0,0.0,0.0,-50.0,0.0,10.0,10.0,10.0,-50.0,10.0,10.0
10,0.0,0.0,0.0,0.0,-40.0,16.26,20.0,-60.0,20.0,-40.0,12.97,20.0
11,0.0,0.0,0.0,0.0,-80.0,-90.0,-90.0,-90.0,-90.0,-80.0,-80.0,-90.0
12,0.0,-30.0,,,,,,,0.0,,,
13,0.0,-20.8,-20.8,0.0,-20.0,-20.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
14,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-100.0,-0.0,-100.0,-0.0,-0.0
16,-0.0,-0.0,-0.0,-0.0,-90.0,-0.0,-0.0,-130.0,-0.0,-0.0,-0.0,-0.0
17,0.0,-150.0,-150.0,-150.0,-130.0,-150.0,-150.0,0.0,-150.0,0.0,-150.0,-150.0
18,-210.0,-210.0,-210.0,0.0,0.0,-180.0,-190.0,0.0,0.0,-190.0,0.0,-190.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-230.0,0.0,0.0,0.0,0.0
20,-270.0,-240.0,-240.0,-210.0,-0.0,-230.0,-230.0,-0.0,-0.0,-0.0,-230.0,-230.0
21,-300.0,-300.0,-270.0,-270.0,-250.0,-260.0,-260.0,-280.0,-280.0,-280.0,0.0,0.0
22,-0.0,-0.0,-0.0,-270.0,-0.0,-270.0,-270.0,-290.0,-0.0,-0.0,-270.0,-270.0
23,-0.0,-0.0,-0.0,-0.0,-0.0,-300.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
25,-360.0,-360.0,-360.0,-360.0,-330.0,-330.0,-0.0,-350.0,-350.0,-350.0,-0.0,-0.0
26,-0.0,-0.0,-370.0,-400.0,-360.0,-370.0,-380.0,-370.0,-380.0,-380.0,-370.0,-370.0
27,0.0,0.0,0.0,0.0,-420.0,-420.0,0.0,0.0,0.0,0.0,-420.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-490.0,-490.0,,-490.0,,,,,,,,
32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,,
