TransectID,Longitude,Latitude,EPR_m_yr,NSM_m,LRR_m_yr,LRR_R2,SCE_m,n_valid,Class
1.0,84.87457,19.239284,,,0.0,0.0,110.0,6,Stable
2.0,84.87477,19.238474,,,-6.024,0.2429,100.0,6,High Erosion
3.0,84.873837,19.237108,0.0,0.0,-4.719,0.0646,210.0,11,High Erosion
4.0,84.873192,19.235475,-17.273,-190.0,-4.199,0.0095,350.0,10,High Erosion
8.0,84.874571,19.23916,,,7.711,0.4406,80.0,6,High Accretion
9.0,84.892016,19.258184,-0.909,-10.0,0.315,0.0027,60.0,12,Moderate Accretion
10.0,84.891928,19.257641,-0.213,-2.343,0.351,0.0021,80.0,12,Moderate Accretion
13.0,84.903791,19.252177,0.048,0.533,-0.025,0.0001,20.8,12,Stable
14.0,84.902665,19.25099,0.0,0.0,0.0,,0.0,12,Stable
15.0,84.901539,19.249802,-3.03,-33.333,-3.497,0.1049,100.0,12,High Erosion
16.0,84.900413,19.248615,0.0,0.0,-0.42,0.0012,130.0,12,Moderate Erosion
17.0,84.899287,19.247428,0.0,0.0,-0.734,0.0016,150.0,12,Moderate Erosion
18.0,84.89816,19.246241,7.576,83.333,7.832,0.0767,210.0,12,High Accretion
19.0,84.897034,19.245054,0.0,0.0,-2.413,0.0172,230.0,12,High Erosion
23.0,84.892626,19.240216,0.0,0.0,1.049,0.0019,300.0,12,High Accretion
24.0,84.8915,19.239028,0.0,0.0,0.0,,0.0,12,Stable
27.0,84.888122,19.235467,-12.727,-140.0,-7.343,0.0194,420.0,12,High Erosion
28.0,84.886996,19.23428,0.0,0.0,0.0,,0.0,12,Stable
29.0,84.88587,19.233092,0.0,0.0,0.0,,0.0,12,Stable
30.0,84.884745,19.231905,0.0,0.0,0.0,,0.0,12,Stable
32.0,84.882493,19.229531,0.0,0.0,0.0,,0.0,9,Stable
33.0,84.881463,19.228254,0.0,0.0,0.0,,0.0,11,Stable
35.0,84.879211,19.22588,0.0,0.0,0.0,,0.0,11,Stable
36.0,84.878086,19.224692,0.0,0.0,0.0,,0.0,12,Stable
37.0,84.87696,19.223505,,,0.0,,0.0,6,Stable
38.0,84.875834,19.222318,0.0,0.0,0.0,,0.0,9,Stable
40.0,84.871559,19.221997,0.0,0.0,0.0,,0.0,12,Stable
41.0,84.869466,19.222063,-0.606,-6.667,-0.769,0.0725,20.0,12,Moderate Erosion
42.0,84.870785,19.223072,0.303,3.333,1.545,0.1554,40.0,11,High Accretion
44.0,84.873036,19.225447,0.606,6.667,-5.524,0.0359,380.0,12,High Erosion
45.0,84.874258,19.226545,,,0.333,0.0075,20.0,9,Moderate Accretion
46.0,84.87548,19.227643,0.0,0.0,-0.076,0.0003,40.0,7,Stable
47.0,84.876702,19.228741,0.005,0.05,0.215,0.0332,20.0,12,Stable
48.0,84.877828,19.229928,-0.909,-10.0,-0.35,0.0175,30.0,12,Moderate Erosion
52.0,84.88262,19.23441,-2.121,-23.333,-1.888,0.2353,40.0,12,High Erosion
55.0,84.886287,19.237704,12.121,133.333,7.343,0.0221,400.0,12,High Accretion
57.0,84.888828,19.239811,10.606,116.667,6.119,0.0194,350.0,12,High Accretion
59.0,84.89108,19.242185,-2.727,-30.0,-2.657,0.2885,70.0,12,High Erosion
60.0,84.892494,19.243105,-0.303,-3.333,3.531,0.0146,290.0,12,High Accretion
63.0,84.896258,19.246309,6.667,73.333,4.126,0.0223,230.0,12,High Accretion
64.0,84.89748,19.247407,-1.212,-13.333,-1.224,0.1266,40.0,12,High Erosion
65.0,84.898702,19.248505,-3.03,-33.333,-2.832,0.406,40.0,12,High Erosion
66.0,84.900117,19.249425,0.606,6.667,2.273,0.0542,130.0,12,High Accretion
67.0,84.901243,19.250612,-3.636,-40.0,-5.21,0.332,100.0,12,High Erosion
68.0,84.902658,19.251531,1.818,20.0,2.098,0.1049,60.0,12,High Accretion
69.0,84.903881,19.252629,0.303,3.333,0.455,0.0156,40.0,12,Moderate Accretion
70.0,84.904165,19.252723,0.0,0.0,-0.774,0.3484,10.0,6,Moderate Erosion
75.0,84.907532,19.272182,10.909,120.0,-0.154,0.0,840.0,10,Stable
76.0,84.907547,19.271008,-5.455,-60.0,-0.734,0.0003,440.0,12,Moderate Erosion
79.0,84.907908,19.26505,2.424,26.667,-0.06,0.0,360.0,11,Stable
81.0,84.909656,19.26218,1.212,13.333,2.493,0.0629,137.62,12,High Accretion
83.0,84.91307,19.262941,-0.303,-3.333,3.923,0.0056,450.0,9,High Accretion
84.0,84.914197,19.264129,-3.939,-43.333,-6.742,0.4602,80.0,8,High Erosion
88.0,84.912329,19.261397,3.636,40.0,4.021,0.1419,120.0,12,High Accretion
89.0,84.910529,19.260835,0.606,6.667,1.503,0.0103,160.0,12,High Accretion
90.0,84.908434,19.261082,0.303,3.333,1.469,0.0039,310.0,12,High Accretion
93.0,84.904965,19.264565,-7.727,-85.0,-0.421,0.0001,400.0,8,Moderate Erosion
96.0,84.905881,19.267376,2.424,26.667,1.224,0.0005,530.0,12,High Accretion
97.0,84.905288,19.269085,-3.636,-40.0,-7.867,0.0329,370.0,12,High Erosion
98.0,84.904421,19.269978,3.333,36.667,0.175,0.0001,220.0,12,Stable
100.0,84.903855,19.26961,2.424,26.667,3.287,0.0072,400.0,12,High Accretion
101.0,84.903833,19.271326,3.03,33.333,3.986,0.006,450.0,12,High Accretion
106.0,84.907001,19.272718,3.636,40.0,-1.452,0.0008,510.0,10,High Erosion
107.0,84.907515,19.273536,-2.727,-30.0,-6.538,0.0097,830.0,9,High Erosion
123.0,84.940853,19.300201,0.758,8.333,-2.172,0.0092,240.0,10,High Erosion
126.0,84.940272,19.301007,8.485,93.333,5.974,0.0902,200.0,10,High Accretion
128.0,84.940073,19.29414,0.303,3.333,1.224,0.039,90.0,12,High Accretion
129.0,84.939685,19.294768,,,-0.964,0.0031,120.0,5,Moderate Erosion
131.0,84.939566,19.296663,6.667,73.333,-3.986,0.0051,570.0,12,High Erosion
134.0,84.942352,19.294437,2.727,30.0,1.608,0.034,90.0,12,High Accretion
136.0,84.941213,19.294243,-5.758,-63.333,-6.923,0.6083,100.0,12,High Erosion
137.0,84.942148,19.295609,-0.606,-6.667,-0.758,0.0019,170.0,9,Moderate Erosion
138.0,84.945097,19.303229,5.909,65.0,5.191,0.1392,130.0,7,High Accretion
143.0,84.945391,19.30251,8.182,90.0,5.134,0.0551,180.0,7,High Accretion
147.0,84.946007,19.298904,,,-1.847,0.5182,20.0,7,High Erosion
148.0,84.946565,19.299904,,,3.448,0.7958,30.0,7,High Accretion
150.0,84.950314,19.319728,,,0.402,0.0258,20.0,5,Moderate Accretion
151.0,84.952479,19.306293,0.0,0.0,0.848,0.165,20.0,10,Moderate Accretion
157.0,84.9647,19.333529,2.273,25.0,4.071,0.0478,160.0,9,High Accretion
158.0,84.964901,19.332718,4.091,45.0,4.429,0.066,130.0,8,High Accretion
161.0,84.963568,19.332793,3.182,35.0,4.038,0.0545,180.0,11,High Accretion
165.0,84.97,19.343614,1.818,20.0,2.902,0.4588,50.0,12,High Accretion
167.0,84.970374,19.34416,-0.909,-10.0,-1.259,0.151,30.0,12,High Erosion
168.0,84.971416,19.344533,-0.606,-6.667,-0.559,0.0095,80.0,12,Moderate Erosion
170.0,84.972739,19.329824,-5.758,-63.333,-6.195,0.0517,320.0,12,High Erosion
174.0,84.974394,19.33454,-9.091,-100.0,-0.766,0.0003,390.0,7,Moderate Erosion
183.0,84.973681,19.346004,-3.377,-37.15,-3.853,0.8298,37.15,6,High Erosion
184.0,84.973871,19.33065,-1.818,-20.0,-2.622,0.0052,320.0,12,High Erosion
185.0,84.974993,19.332288,3.939,43.333,4.091,0.0348,220.0,12,High Accretion
186.0,84.976216,19.333386,3.939,43.333,2.497,0.0114,330.0,11,High Accretion
189.0,84.979309,19.337214,-3.939,-43.333,-3.298,0.009,380.0,11,High Erosion
194.0,84.983177,19.339967,-5.455,-60.0,-3.776,0.0069,490.0,12,High Erosion
195.0,84.9844,19.341064,-3.03,-33.333,-5.027,0.0613,290.0,11,High Erosion
196.0,84.985432,19.34234,-8.182,-90.0,-7.098,0.094,270.0,12,High Erosion
199.0,84.98959,19.344644,2.727,30.0,4.309,0.4758,50.0,5,High Accretion
207.0,84.989223,19.343556,0.0,0.0,0.399,0.0055,30.0,7,Moderate Accretion
209.0,84.986968,19.341183,-2.424,-26.667,-4.895,0.0336,220.0,12,High Erosion
210.0,84.985841,19.339996,8.485,93.333,7.797,0.0689,280.0,12,High Accretion
211.0,84.984714,19.338809,0.0,0.0,0.0,,0.0,11,Stable
213.0,84.982459,19.336436,-12.273,-135.0,-5.613,0.0158,350.0,9,High Erosion
214.0,84.981802,19.335706,-3.182,-35.0,1.406,0.0035,240.0,10,High Accretion
215.0,84.980675,19.334519,0.0,0.0,-0.367,0.0027,60.0,7,Moderate Erosion
216.0,84.979451,19.333422,8.182,90.0,5.107,0.0207,390.0,11,High Accretion
217.0,84.97842,19.332146,-3.939,-43.333,-1.347,0.0025,360.0,8,High Erosion
220.0,84.9753,19.330485,-5.49,-60.387,-7.452,0.0749,431.16,11,High Erosion
222.0,84.974524,19.331741,-6.667,-73.333,-3.531,0.013,320.0,12,High Erosion
224.0,84.975547,19.333649,10.909,120.0,0.21,0.0,600.0,12,Stable
226.0,84.981473,19.339225,-2.121,-23.333,2.273,0.016,230.0,12,High Accretion
229.0,84.98177,19.338325,0.0,0.0,-6.206,0.05,270.0,10,High Erosion
231.0,84.986396,19.356804,0.909,10.0,1.933,0.1028,60.0,6,High Accretion
233.0,84.986777,19.356808,0.0,0.0,0.336,0.0269,20.0,6,Moderate Accretion
236.0,84.98838,19.365768,0.909,10.0,0.786,0.0912,30.0,10,Moderate Accretion
242.0,84.993157,19.372054,0.909,10.0,1.191,0.7146,10.0,10,High Accretion
244.0,84.992823,19.368256,-6.364,-70.0,-7.494,0.7348,70.0,10,High Erosion
245.0,84.993395,19.368172,-1.818,-20.0,0.281,0.0015,100.0,10,Stable
261.0,85.028866,19.386536,-4.494,-49.43,-4.997,0.1573,160.0,11,High Erosion
263.0,85.028203,19.386258,0.909,10.0,1.958,0.1581,60.0,12,High Accretion
264.0,85.032631,19.390009,0.0,0.0,0.0,,0.0,8,Stable
265.0,85.032147,19.390727,0.0,0.0,0.0,,0.0,8,Stable
